"Geographic code","Geographic name","Geographic type","Geographic name, Province or territory","Geographic code, Province or territory","Additional province code","Global non-response rate","Data quality flag","Household type","Number of households, 2006","Number of households, 2016","Median household total income (2015 constant dollars), 2005","Median household total income (2015 constant dollars), 2015","Median household total income (2015 constant dollars), % change","Median household after-tax income (2015 constant dollars), 2005","Median household after-tax income (2015 constant dollars), 2015","Median household after-tax income (2015 constant dollars), % change"
"410","Alma","CA","Quebec","24","",3.7,"00000","  Non-census-family households",4110,5035,25831,29618,14.7,23901,26978,12.9
"411","Dolbeau-Mistassini","CA","Quebec","24","",4.5,"00000","Total – Household type including census family structure",6960,6865,48730,53496,9.8,43101,47419,10.0
"411","Dolbeau-Mistassini","CA","Quebec","24","",4.5,"00000","  Census-family households",4675,4455,61159,70645,15.5,54080,61683,14.1
"411","Dolbeau-Mistassini","CA","Quebec","24","",4.5,"00000","    Households consisting of only one census family without additional persons",4600,4340,60972,70222,15.2,53660,61107,13.9
"411","Dolbeau-Mistassini","CA","Quebec","24","",4.5,"00000","      One couple, with or without children in their census family",3995,3765,65180,75168,15.3,56227,64648,15.0
"411","Dolbeau-Mistassini","CA","Quebec","24","",4.5,"00000","        One couple, without children in their census family",1990,2285,52845,60117,13.8,46801,53248,13.8
"411","Dolbeau-Mistassini","CA","Quebec","24","",4.5,"00000","        One couple, with children in their census family",2005,1475,80172,100372,25.2,69339,85191,22.9
"411","Dolbeau-Mistassini","CA","Quebec","24","",4.5,"00000","      One lone-parent census family",605,575,35103,45261,28.9,33773,42752,26.6
"411","Dolbeau-Mistassini","CA","Quebec","24","",4.5,"00000","    Other census-family households",80,115,76913,88064,14.5,65370,80384,23.0
"411","Dolbeau-Mistassini","CA","Quebec","24","",4.5,"00000","  Non-census-family households",2280,2410,22767,26368,15.8,22116,24742,11.9
"412","Sept-Îles","CA","Quebec","24","",5.2,"00000","Total – Household type including census family structure",11720,12275,59075,67020,13.4,51113,57666,12.8
"412","Sept-Îles","CA","Quebec","24","",5.2,"00000","  Census-family households",8010,8050,75796,92170,21.6,64895,77263,19.1
"412","Sept-Îles","CA","Quebec","24","",5.2,"00000","    Households consisting of only one census family without additional persons",7545,7550,75883,91255,20.3,64403,76316,18.5
"412","Sept-Îles","CA","Quebec","24","",5.2,"00000","      One couple, with or without children in their census family",6245,6240,83479,102076,22.3,69758,84096,20.6
"412","Sept-Îles","CA","Quebec","24","",5.2,"00000","        One couple, without children in their census family",3090,3300,65904,78375,18.9,57094,65897,15.4
"412","Sept-Îles","CA","Quebec","24","",5.2,"00000","        One couple, with children in their census family",3155,2940,103197,130418,26.4,83868,105307,25.6
"412","Sept-Îles","CA","Quebec","24","",5.2,"00000","      One lone-parent census family",1305,1305,39681,52309,31.8,37616,47552,26.4
"412","Sept-Îles","CA","Quebec","24","",5.2,"00000","    Other census-family households",465,500,74178,101632,37.0,71631,90880,26.9
"412","Sept-Îles","CA","Quebec","24","",5.2,"00000","  Non-census-family households",3705,4225,32555,36672,12.6,28592,31962,11.8
"421","Québec","CMA","Quebec","24","",4.0,"00000","Total – Household type including census family structure",318725,361890,58815,65359,11.1,50347,55890,11.0
"421","Québec","CMA","Quebec","24","",4.0,"00000","  Census-family households",201235,220485,78742,90141,14.5,67037,75785,13.0
"421","Québec","CMA","Quebec","24","",4.0,"00000","    Households consisting of only one census family without additional persons",193840,213160,78547,89691,14.2,66727,75317,12.9
"421","Québec","CMA","Quebec","24","",4.0,"00000","      One couple, with or without children in their census family",165600,183930,84048,95684,13.8,71131,79820,12.2
"421","Québec","CMA","Quebec","24","",4.0,"00000","        One couple, without children in their census family",84395,100665,69652,78253,12.3,58953,66248,12.4
"421","Québec","CMA","Quebec","24","",4.0,"00000","        One couple, with children in their census family",81205,83265,99286,118561,19.4,84131,98030,16.5
"421","Québec","CMA","Quebec","24","",4.0,"00000","      One lone-parent census family",28240,29230,50474,59248,17.4,46371,52370,12.9
"421","Québec","CMA","Quebec","24","",4.0,"00000","    Other census-family households",7395,7325,84191,103111,22.5,75546,90581,19.9
"421","Québec","CMA","Quebec","24","",4.0,"00000","  Non-census-family households",117490,141410,33183,37676,13.5,29096,33057,13.6
"423","Sainte-Marie","CA","Quebec","24","",3.5,"00000","Total – Household type including census family structure",4680,5650,59492,64625,8.6,52236,56267,7.7
"423","Sainte-Marie","CA","Quebec","24","",3.5,"00000","  Census-family households",3310,3825,75504,82261,8.9,65751,70494,7.2
"423","Sainte-Marie","CA","Quebec","24","",3.5,"00000","    Households consisting of only one census family without additional persons",3215,3730,74824,81896,9.5,64958,70068,7.9
"423","Sainte-Marie","CA","Quebec","24","",3.5,"00000","      One couple, with or without children in their census family",2880,3265,78694,86886,10.4,68034,73930,8.7
"423","Sainte-Marie","CA","Quebec","24","",3.5,"00000","        One couple, without children in their census family",1315,1740,59167,70101,18.5,51883,60434,16.5
"423","Sainte-Marie","CA","Quebec","24","",3.5,"00000","        One couple, with children in their census family",1560,1525,90568,110784,22.3,78489,92700,18.1
"423","Sainte-Marie","CA","Quebec","24","",3.5,"00000","      One lone-parent census family",335,465,53947,53696,-0.5,47500,48672,2.5
"423","Sainte-Marie","CA","Quebec","24","",3.5,"00000","    Other census-family households",95,90,91619,96512,5.3,72174,85504,18.5
"423","Sainte-Marie","CA","Quebec","24","",3.5,"00000","  Non-census-family households",1370,1830,34783,35674,2.6,30075,31467,4.6
"428","Saint-Georges","CA","Quebec","24","",4.5,"00000","Total – Household type including census family structure",12745,14590,52516,54168,3.1,45351,47764,5.3
"428","Saint-Georges","CA","Quebec","24","",4.5,"00000","  Census-family households",8195,8900,68940,75908,10.1,59682,65594,9.9
"428","Saint-Georges","CA","Quebec","24","",4.5,"00000","    Households consisting of only one census family without additional persons",7910,8690,68871,75582,9.7,59489,65315,9.8
"428","Saint-Georges","CA","Quebec","24","",4.5,"00000","      One couple, with or without children in their census family",6705,7335,73096,81626,11.7,63995,69913,9.2
"428","Saint-Georges","CA","Quebec","24","",4.5,"00000","        One couple, without children in their census family",3255,3995,60642,64603,6.5,52360,56691,8.3
"428","Saint-Georges","CA","Quebec","24","",4.5,"00000","        One couple, with children in their census family",3455,3340,85548,101990,19.2,74997,86528,15.4
"428","Saint-Georges","CA","Quebec","24","",4.5,"00000","      One lone-parent census family",1200,1360,43741,49902,14.1,40773,45427,11.4
"428","Saint-Georges","CA","Quebec","24","",4.5,"00000","    Other census-family households",285,205,74425,86869,16.7,68629,77653,13.1
"428","Saint-Georges","CA","Quebec","24","",4.5,"00000","  Non-census-family households",4550,5695,27890,29775,6.8,25348,27392,8.1
"430","Thetford Mines","CA","Quebec","24","",5.3,"00000","Total – Household type including census family structure",12970,13350,45503,48392,6.3,40820,43648,6.9
"430","Thetford Mines","CA","Quebec","24","",5.3,"00000","  Census-family households",8375,8030,60066,67405,12.2,53376,59349,11.2
"430","Thetford Mines","CA","Quebec","24","",5.3,"00000","    Households consisting of only one census family without additional persons",8205,7860,59921,66816,11.5,53107,58926,11.0
"430","Thetford Mines","CA","Quebec","24","",5.3,"00000","      One couple, with or without children in their census family",7195,6760,62880,70492,12.1,55925,61514,10.0
"430","Thetford Mines","CA","Quebec","24","",5.3,"00000","        One couple, without children in their census family",4135,4325,51373,58234,13.4,46755,51799,10.8
"430","Thetford Mines","CA","Quebec","24","",5.3,"00000","        One couple, with children in their census family",3060,2435,80321,94906,18.2,70400,82078,16.6
"430","Thetford Mines","CA","Quebec","24","",5.3,"00000","      One lone-parent census family",1010,1100,39795,48461,21.8,38629,44800,16.0
"430","Thetford Mines","CA","Quebec","24","",5.3,"00000","    Other census-family households",170,170,67663,90880,34.3,65575,80811,23.2
"430","Thetford Mines","CA","Quebec","24","",5.3,"00000","  Non-census-family households",4595,5325,24752,26530,7.2,23072,25044,8.5
"433","Sherbrooke","CMA","Quebec","24","",4.2,"00000","Total – Household type including census family structure",84620,95575,50405,53747,6.6,44527,47558,6.8
"433","Sherbrooke","CMA","Quebec","24","",4.2,"00000","  Census-family households",52415,57035,68404,76307,11.6,59315,65772,10.9
"433","Sherbrooke","CMA","Quebec","24","",4.2,"00000","    Households consisting of only one census family without additional persons",50350,54855,68067,75793,11.4,59013,65293,10.6
"433","Sherbrooke","CMA","Quebec","24","",4.2,"00000","      One couple, with or without children in their census family",42595,46510,73866,81926,10.9,63634,69939,9.9
"433","Sherbrooke","CMA","Quebec","24","",4.2,"00000","        One couple, without children in their census family",22140,26205,62017,67301,8.5,53618,58473,9.1
"433","Sherbrooke","CMA","Quebec","24","",4.2,"00000","        One couple, with children in their census family",20455,20305,88173,102679,16.5,75744,86599,14.3
"433","Sherbrooke","CMA","Quebec","24","",4.2,"00000","      One lone-parent census family",7760,8340,44435,49809,12.1,41792,45520,8.9
"433","Sherbrooke","CMA","Quebec","24","",4.2,"00000","    Other census-family households",2060,2185,76615,87712,14.5,68522,78830,15.0
"433","Sherbrooke","CMA","Quebec","24","",4.2,"00000","  Non-census-family households",32210,38535,26956,29803,10.6,24696,27290,10.5
"437","Cowansville","CA","Quebec","24","",6.2,"00000","Total – Household type including census family structure",5165,5990,48651,49508,1.8,43423,44557,2.6
"437","Cowansville","CA","Quebec","24","",6.2,"00000","  Census-family households",3340,3685,65900,68277,3.6,56342,60288,7.0
"437","Cowansville","CA","Quebec","24","",6.2,"00000","    Households consisting of only one census family without additional persons",3235,3510,65474,67558,3.2,55956,59703,6.7
"437","Cowansville","CA","Quebec","24","",6.2,"00000","      One couple, with or without children in their census family",2705,2905,69293,73031,5.4,58726,63462,8.1
"437","Cowansville","CA","Quebec","24","",6.2,"00000","        One couple, without children in their census family",1490,1715,58823,60838,3.4,51321,53831,4.9
"437","Cowansville","CA","Quebec","24","",6.2,"00000","        One couple, with children in their census family",1215,1190,83845,92087,9.8,72022,78409,8.9
"437","Cowansville","CA","Quebec","24","",6.2,"00000","      One lone-parent census family",535,605,45567,44480,-2.4,43348,41109,-5.2
"437","Cowansville","CA","Quebec","24","",6.2,"00000","    Other census-family households",105,175,80140,84224,5.1,68498,77056,12.5
"437","Cowansville","CA","Quebec","24","",6.2,"00000","  Non-census-family households",1820,2305,27477,27034,-1.6,25057,25088,0.1
"440","Victoriaville","CA","Quebec","24","",4.9,"00000","Total – Household type including census family structure",18355,21795,49623,52489,5.8,43979,46290,5.3
"440","Victoriaville","CA","Quebec","24","",4.9,"00000","  Census-family households",12070,13455,65318,73033,11.8,57539,63434,10.2
"440","Victoriaville","CA","Quebec","24","",4.9,"00000","    Households consisting of only one census family without additional persons",11635,13020,64957,72770,12.0,57172,63101,10.4
"440","Victoriaville","CA","Quebec","24","",4.9,"00000","      One couple, with or without children in their census family",9780,11055,71316,78221,9.7,61822,67261,8.8
"440","Victoriaville","CA","Quebec","24","",4.9,"00000","        One couple, without children in their census family",4990,6345,55771,62470,12.0,48577,54800,12.8
"440","Victoriaville","CA","Quebec","24","",4.9,"00000","        One couple, with children in their census family",4790,4710,85223,100087,17.4,74451,85259,14.5
"440","Victoriaville","CA","Quebec","24","",4.9,"00000","      One lone-parent census family",1855,1960,40824,48128,17.9,38287,44581,16.4
"440","Victoriaville","CA","Quebec","24","",4.9,"00000","    Other census-family households",435,435,71504,79744,11.5,65359,72661,11.2
"440","Victoriaville","CA","Quebec","24","",4.9,"00000","  Non-census-family households",6280,8345,25868,28753,11.2,23480,26391,12.4
"442","Trois-Rivières","CMA","Quebec","24","",4.3,"00000","Total – Household type including census family structure",65195,72505,48085,51850,7.8,42805,45927,7.3
"442","Trois-Rivières","CMA","Quebec","24","",4.3,"00000","  Census-family households",40385,42660,67199,74609,11.0,58296,64403,10.5
"442","Trois-Rivières","CMA","Quebec","24","",4.3,"00000","    Households consisting of only one census family without additional persons",38665,41000,66982,74334,11.0,57944,63955,10.4
"442","Trois-Rivières","CMA","Quebec","24","",4.3,"00000","      One couple, with or without children in their census family",32570,34425,73166,80744,10.4,62342,69048,10.8
"442","Trois-Rivières","CMA","Quebec","24","",4.3,"00000","        One couple, without children in their census family",17170,20350,58227,65998,13.3,50359,57227,13.6
"442","Trois-Rivières","CMA","Quebec","24","",4.3,"00000","        One couple, with children in their census family",15400,14080,90533,106201,17.3,77015,89350,16.0
"442","Trois-Rivières","CMA","Quebec","24","",4.3,"00000","      One lone-parent census family",6100,6575,39743,47945,20.6,38448,44305,15.2
"442","Trois-Rivières","CMA","Quebec","24","",4.3,"00000","    Other census-family households",1715,1655,72837,82528,13.3,66549,74724,12.3
"442","Trois-Rivières","CMA","Quebec","24","",4.3,"00000","  Non-census-family households",24805,29845,24716,28742,16.3,22986,26440,15.0
"444","Shawinigan","CA","Quebec","24","",3.9,"00000","Total – Household type including census family structure",25825,26340,42698,46027,7.8,38440,41574,8.2
"444","Shawinigan","CA","Quebec","24","",3.9,"00000","  Census-family households",15830,14985,59882,66564,11.2,52346,58479,11.7
"444","Shawinigan","CA","Quebec","24","",3.9,"00000","    Households consisting of only one census family without additional persons",15130,14380,59134,65985,11.6,51705,57874,11.9
"444","Shawinigan","CA","Quebec","24","",3.9,"00000","      One couple, with or without children in their census family",12390,12035,64836,71051,9.6,57004,61681,8.2
"444","Shawinigan","CA","Quebec","24","",3.9,"00000","        One couple, without children in their census family",6970,7725,53286,60061,12.7,47051,53017,12.7
"444","Shawinigan","CA","Quebec","24","",3.9,"00000","        One couple, with children in their census family",5420,4305,83459,95049,13.9,71114,81152,14.1
"444","Shawinigan","CA","Quebec","24","",3.9,"00000","      One lone-parent census family",2740,2345,37412,44487,18.9,36709,41255,12.4
"444","Shawinigan","CA","Quebec","24","",3.9,"00000","    Other census-family households",700,605,79456,79531,0.1,68890,72909,5.8
"444","Shawinigan","CA","Quebec","24","",3.9,"00000","  Non-census-family households",9985,11350,21074,24631,16.9,20525,23502,14.5
"447","Drummondville","CA","Quebec","24","",4.5,"00000","Total – Household type including census family structure",36555,42275,49478,52468,6.0,43828,46666,6.5
"447","Drummondville","CA","Quebec","24","",4.5,"00000","  Census-family households",23990,26450,64364,71766,11.5,56630,62566,10.5
"447","Drummondville","CA","Quebec","24","",4.5,"00000","    Households consisting of only one census family without additional persons",22915,25265,63943,71251,11.4,56331,62021,10.1
"447","Drummondville","CA","Quebec","24","",4.5,"00000","      One couple, with or without children in their census family",19655,21450,68770,76617,11.4,60023,66078,10.1
"447","Drummondville","CA","Quebec","24","",4.5,"00000","        One couple, without children in their census family",9890,11895,56465,61371,8.7,49501,54096,9.3
"447","Drummondville","CA","Quebec","24","",4.5,"00000","        One couple, with children in their census family",9770,9555,81421,96732,18.8,70953,82508,16.3
"447","Drummondville","CA","Quebec","24","",4.5,"00000","      One lone-parent census family",3260,3815,41633,46769,12.3,39602,43141,8.9
"447","Drummondville","CA","Quebec","24","",4.5,"00000","    Other census-family households",1070,1180,74989,81835,9.1,66597,74560,12.0
"447","Drummondville","CA","Quebec","24","",4.5,"00000","  Non-census-family households",12570,15825,26865,28918,7.6,24613,26459,7.5
"450","Granby","CA","Quebec","24","",4.0,"00000","Total – Household type including census family structure",31715,37775,54061,56122,3.8,47311,49281,4.2
"450","Granby","CA","Quebec","24","",4.0,"00000","  Census-family households",21345,23870,69751,75661,8.5,60633,65180,7.5
"450","Granby","CA","Quebec","24","",4.0,"00000","    Households consisting of only one census family without additional persons",20375,22780,69179,74766,8.1,60077,64399,7.2
"450","Granby","CA","Quebec","24","",4.0,"00000","      One couple, with or without children in their census family",17470,19410,74299,80606,8.5,64229,68900,7.3
"450","Granby","CA","Quebec","24","",4.0,"00000","        One couple, without children in their census family",8800,11220,63110,66693,5.7,53714,57545,7.1
"450","Granby","CA","Quebec","24","",4.0,"00000","        One couple, with children in their census family",8670,8190,87040,101554,16.7,74549,85974,15.3
"450","Granby","CA","Quebec","24","",4.0,"00000","      One lone-parent census family",2905,3365,43091,49355,14.5,40601,45045,10.9
"450","Granby","CA","Quebec","24","",4.0,"00000","    Other census-family households",970,1090,80233,93623,16.7,73026,84070,15.1
"450","Granby","CA","Quebec","24","",4.0,"00000","  Non-census-family households",10370,13900,28283,31438,11.2,25556,28410,11.2
"452","Saint-Hyacinthe","CA","Quebec","24","",5.2,"00000","Total – Household type including census family structure",24160,27005,50828,51970,2.2,44958,46059,2.4
"452","Saint-Hyacinthe","CA","Quebec","24","",5.2,"00000","  Census-family households",15100,15870,68767,73642,7.1,59992,64005,6.7
"452","Saint-Hyacinthe","CA","Quebec","24","",5.2,"00000","    Households consisting of only one census family without additional persons",14515,15180,68163,73219,7.4,59506,63601,6.9
"452","Saint-Hyacinthe","CA","Quebec","24","",5.2,"00000","      One couple, with or without children in their census family",12245,12700,73758,79092,7.2,63478,68179,7.4
"452","Saint-Hyacinthe","CA","Quebec","24","",5.2,"00000","        One couple, without children in their census family",6660,7460,62375,66275,6.3,54121,57616,6.5
"452","Saint-Hyacinthe","CA","Quebec","24","",5.2,"00000","        One couple, with children in their census family",5595,5240,86952,99243,14.1,75821,84232,11.1
"452","Saint-Hyacinthe","CA","Quebec","24","",5.2,"00000","      One lone-parent census family",2265,2480,45058,48158,6.9,42833,44167,3.1
"452","Saint-Hyacinthe","CA","Quebec","24","",5.2,"00000","    Other census-family households",585,685,87631,83328,-4.9,74731,75827,1.5
"452","Saint-Hyacinthe","CA","Quebec","24","",5.2,"00000","  Non-census-family households",9055,11130,26633,29587,11.1,24630,27111,10.1
"454","Sorel-Tracy","CA","Quebec","24","",4.1,"00000","Total – Household type including census family structure",18295,19660,49556,51902,4.7,43960,46239,5.2
"454","Sorel-Tracy","CA","Quebec","24","",4.1,"00000","  Census-family households",12145,11940,68584,73011,6.5,58706,62861,7.1
"454","Sorel-Tracy","CA","Quebec","24","",4.1,"00000","    Households consisting of only one census family without additional persons",11555,11420,67868,72174,6.3,57740,62087,7.5
"454","Sorel-Tracy","CA","Quebec","24","",4.1,"00000","      One couple, with or without children in their census family",9865,9790,73174,77485,5.9,61741,66164,7.2
"454","Sorel-Tracy","CA","Quebec","24","",4.1,"00000","        One couple, without children in their census family",5475,6170,59793,63386,6.0,50959,55343,8.6
"454","Sorel-Tracy","CA","Quebec","24","",4.1,"00000","        One couple, with children in their census family",4395,3620,92556,108258,17.0,77301,89658,16.0
"454","Sorel-Tracy","CA","Quebec","24","",4.1,"00000","      One lone-parent census family",1695,1635,39137,46797,19.6,37327,43380,16.2
"454","Sorel-Tracy","CA","Quebec","24","",4.1,"00000","    Other census-family households",585,515,78330,89984,14.9,70130,79808,13.8
"454","Sorel-Tracy","CA","Quebec","24","",4.1,"00000","  Non-census-family households",6155,7715,23842,28131,18.0,22494,26063,15.9
"456","Joliette","CA","Quebec","24","",5.3,"00000","Total – Household type including census family structure",19125,22480,46958,51190,9.0,42144,45696,8.4
"456","Joliette","CA","Quebec","24","",5.3,"00000","  Census-family households",11940,13290,64762,72314,11.7,56671,62966,11.1
"456","Joliette","CA","Quebec","24","",5.3,"00000","    Households consisting of only one census family without additional persons",11375,12580,64018,71746,12.1,56405,62394,10.6
"456","Joliette","CA","Quebec","24","",5.3,"00000","      One couple, with or without children in their census family",9355,10335,72154,78296,8.5,62354,67120,7.6
"456","Joliette","CA","Quebec","24","",5.3,"00000","        One couple, without children in their census family",4980,6145,56684,65120,14.9,49779,56742,14.0
"456","Joliette","CA","Quebec","24","",5.3,"00000","        One couple, with children in their census family",4375,4185,89700,101240,12.9,77777,85425,9.8
"456","Joliette","CA","Quebec","24","",5.3,"00000","      One lone-parent census family",2020,2245,43299,47728,10.2,41319,44043,6.6
"456","Joliette","CA","Quebec","24","",5.3,"00000","    Other census-family households",565,715,72082,83712,16.1,65114,75648,16.2
"456","Joliette","CA","Quebec","24","",5.3,"00000","  Non-census-family households",7185,9190,23899,29291,22.6,22743,26898,18.3
"462","Montréal","CMA","Quebec","24","",3.3,"20000","Total – Household type including census family structure",1567820,1727310,56771,61790,8.8,49068,53738,9.5
"462","Montréal","CMA","Quebec","24","",3.3,"20000","  Census-family households",1008360,1083200,75343,83594,11.0,64643,71469,10.6
"462","Montréal","CMA","Quebec","24","",3.3,"20000","    Households consisting of only one census family without additional persons",941200,1010540,74623,82518,10.6,63801,70343,10.3
"462","Montréal","CMA","Quebec","24","",3.3,"20000","      One couple, with or without children in their census family",785290,838300,81768,90260,10.4,69356,76182,9.8
"462","Montréal","CMA","Quebec","24","",3.3,"20000","        One couple, without children in their census family",353930,386420,68141,74895,9.9,57652,63566,10.3
"462","Montréal","CMA","Quebec","24","",3.3,"20000","        One couple, with children in their census family",431360,451875,93880,105493,12.4,79544,88563,11.3
"462","Montréal","CMA","Quebec","24","",3.3,"20000","      One lone-parent census family",155915,172240,47188,53488,13.4,44046,48328,9.7
"462","Montréal","CMA","Quebec","24","",3.3,"20000","    Other census-family households",67160,72660,84493,96761,14.5,76026,86537,13.8
"462","Montréal","CMA","Quebec","24","",3.3,"20000","  Non-census-family households",559455,644110,32232,35168,9.1,28611,31303,9.4
"465","Salaberry-de-Valleyfield","CA","Quebec","24","",5.0,"00000","Total – Household type including census family structure",17520,18625,49538,50952,2.9,43501,45525,4.7
"465","Salaberry-de-Valleyfield","CA","Quebec","24","",5.0,"00000","  Census-family households",11190,11140,68020,71275,4.8,59277,62028,4.6
"465","Salaberry-de-Valleyfield","CA","Quebec","24","",5.0,"00000","    Households consisting of only one census family without additional persons",10665,10450,67609,70559,4.4,58599,61248,4.5
"465","Salaberry-de-Valleyfield","CA","Quebec","24","",5.0,"00000","      One couple, with or without children in their census family",8805,8625,74599,77014,3.2,63934,66084,3.4
"465","Salaberry-de-Valleyfield","CA","Quebec","24","",5.0,"00000","        One couple, without children in their census family",4625,5115,57747,63317,9.6,50009,55442,10.9
"465","Salaberry-de-Valleyfield","CA","Quebec","24","",5.0,"00000","        One couple, with children in their census family",4175,3510,94866,98027,3.3,79584,83005,4.3
"465","Salaberry-de-Valleyfield","CA","Quebec","24","",5.0,"00000","      One lone-parent census family",1855,1820,40277,46165,14.6,38518,42752,11.0
"465","Salaberry-de-Valleyfield","CA","Quebec","24","",5.0,"00000","    Other census-family households",530,690,78594,81920,4.2,69624,75264,8.1
"465","Salaberry-de-Valleyfield","CA","Quebec","24","",5.0,"00000","  Non-census-family households",6330,7480,24910,28309,13.6,22841,26186,14.6
"468","Lachute","CA","Quebec","24","",4.5,"00000","Total – Household type including census family structure",5210,5980,43183,44681,3.5,39251,40419,3.0
"468","Lachute","CA","Quebec","24","",4.5,"00000","  Census-family households",3295,3520,61491,64185,4.4,54800,57371,4.7
"468","Lachute","CA","Quebec","24","",4.5,"00000","    Households consisting of only one census family without additional persons",3090,3270,59782,62862,5.2,53934,55966,3.8
"468","Lachute","CA","Quebec","24","",4.5,"00000","      One couple, with or without children in their census family",2525,2575,66294,70016,5.6,58165,61298,5.4
"468","Lachute","CA","Quebec","24","",4.5,"00000","        One couple, without children in their census family",1310,1575,57926,58560,1.1,50138,52160,4.0
"468","Lachute","CA","Quebec","24","",4.5,"00000","        One couple, with children in their census family",1215,1000,72187,89152,23.5,62969,76946,22.2
"468","Lachute","CA","Quebec","24","",4.5,"00000","      One lone-parent census family",570,695,37148,40384,8.7,35887,38502,7.3
"468","Lachute","CA","Quebec","24","",4.5,"00000","    Other census-family households",205,250,84418,79488,-5.8,71618,72448,1.2
"468","Lachute","CA","Quebec","24","",4.5,"00000","  Non-census-family households",1915,2460,21600,24115,11.6,21217,23269,9.7
"47840","Lloydminster (Saskatchewan part)","CA","Alberta","48","48",4.2,"00000","Total – Household type including census family structure",4155,5550,72086,86882,20.5,60775,73301,20.6
"47840","Lloydminster (Saskatchewan part)","CA","Alberta","48","48",4.2,"00000","  Census-family households",2950,3895,84302,101069,19.9,70453,85709,21.7
"47840","Lloydminster (Saskatchewan part)","CA","Alberta","48","48",4.2,"00000","    Households consisting of only one census family without additional persons",2650,3425,83558,97595,16.8,69033,82405,19.4
"47840","Lloydminster (Saskatchewan part)","CA","Alberta","48","48",4.2,"00000","      One couple, with or without children in their census family",2335,2870,90341,106675,18.1,73154,88672,21.2
"47840","Lloydminster (Saskatchewan part)","CA","Alberta","48","48",4.2,"00000","        One couple, without children in their census family",970,1205,78232,96000,22.7,66868,80697,20.7
"47840","Lloydminster (Saskatchewan part)","CA","Alberta","48","48",4.2,"00000","        One couple, with children in their census family",1370,1665,96639,112896,16.8,79830,93798,17.5
"47840","Lloydminster (Saskatchewan part)","CA","Alberta","48","48",4.2,"00000","      One lone-parent census family",320,555,43596,49536,13.6,41713,45781,9.8
"47840","Lloydminster (Saskatchewan part)","CA","Alberta","48","48",4.2,"00000","    Other census-family households",300,475,101850,133803,31.4,89840,114688,27.7
"47840","Lloydminster (Saskatchewan part)","CA","Alberta","48","48",4.2,"00000","  Non-census-family households",1210,1655,42284,55680,31.7,35535,46635,31.2
"480","Val-d'Or","CA","Quebec","24","",4.7,"00000","Total – Household type including census family structure",13565,14880,54183,63957,18.0,46734,54963,17.6
"480","Val-d'Or","CA","Quebec","24","",4.7,"00000","  Census-family households",9155,9445,71736,89136,24.3,61974,74344,20.0
"480","Val-d'Or","CA","Quebec","24","",4.7,"00000","    Households consisting of only one census family without additional persons",8675,8955,71197,89114,25.2,61582,74109,20.3
"480","Val-d'Or","CA","Quebec","24","",4.7,"00000","      One couple, with or without children in their census family",7345,7720,79207,96364,21.7,66500,79497,19.5
"480","Val-d'Or","CA","Quebec","24","",4.7,"00000","        One couple, without children in their census family",3680,4290,60692,76954,26.8,52435,65221,24.4
"480","Val-d'Or","CA","Quebec","24","",4.7,"00000","        One couple, with children in their census family",3665,3435,92213,124403,34.9,77724,100301,29.0
"480","Val-d'Or","CA","Quebec","24","",4.7,"00000","      One lone-parent census family",1325,1230,40127,52531,30.9,39126,46336,18.4
"480","Val-d'Or","CA","Quebec","24","",4.7,"00000","    Other census-family households",485,490,81518,89472,9.8,71710,78933,10.1
"480","Val-d'Or","CA","Quebec","24","",4.7,"00000","  Non-census-family households",4410,5430,27128,33299,22.7,24127,29745,23.3
"485","Rouyn-Noranda","CA","Quebec","24","",4.2,"00000","Total – Household type including census family structure",17415,18850,52333,62994,20.4,45640,54020,18.4
"485","Rouyn-Noranda","CA","Quebec","24","",4.2,"00000","  Census-family households",11475,11875,70601,88655,25.6,59995,74348,23.9
"485","Rouyn-Noranda","CA","Quebec","24","",4.2,"00000","    Households consisting of only one census family without additional persons",11125,11435,69414,88149,27.0,59525,73801,24.0
"485","Rouyn-Noranda","CA","Quebec","24","",4.2,"00000","      One couple, with or without children in their census family",9345,9895,78247,95018,21.4,65333,78754,20.5
"485","Rouyn-Noranda","CA","Quebec","24","",4.2,"00000","        One couple, without children in their census family",4675,5560,59449,75264,26.6,51288,63504,23.8
"485","Rouyn-Noranda","CA","Quebec","24","",4.2,"00000","        One couple, with children in their census family",4675,4330,96952,121600,25.4,81002,98448,21.5
"485","Rouyn-Noranda","CA","Quebec","24","",4.2,"00000","      One lone-parent census family",1780,1540,40651,51797,27.4,38825,46592,20.0
"485","Rouyn-Noranda","CA","Quebec","24","",4.2,"00000","    Other census-family households",350,440,104527,97621,-6.6,83929,86187,2.7
"485","Rouyn-Noranda","CA","Quebec","24","",4.2,"00000","  Non-census-family households",5940,6975,23666,32506,37.4,22457,29152,29.8
"48840","Lloydminster (Alberta part)","CA","Alberta","48","47",3.7,"00000","Total – Household type including census family structure",6080,7445,87622,102054,16.5,74931,85692,14.4
"48840","Lloydminster (Alberta part)","CA","Alberta","48","47",3.7,"00000","  Census-family households",4245,5315,106375,124431,17.0,87941,103024,17.2
"48840","Lloydminster (Alberta part)","CA","Alberta","48","47",3.7,"00000","    Households consisting of only one census family without additional persons",3950,4895,105184,122533,16.5,87078,101524,16.6
"48840","Lloydminster (Alberta part)","CA","Alberta","48","47",3.7,"00000","      One couple, with or without children in their census family",3620,4310,108277,131915,21.8,89548,108448,21.1
